Video_Source,Event_ID,Timestamp,Timestamp_Sec,Frame_Number,Track_ID,Object_Class,Violation_Type,Severity,Evidence_Snapshot
Real Video 1,EVT_0001,0:00:01,1.5,45,1,person,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0001_id1.jpg
Real Video 1,EVT_0002,0:00:01,1.5,45,3,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0002_id3.jpg
Real Video 1,EVT_0003,0:00:01,1.5,45,4,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0003_id4.jpg
Real Video 1,EVT_0004,0:00:01,1.5,45,5,dining table,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0004_id5.jpg
Real Video 1,EVT_0005,0:00:01,1.5,45,6,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0005_id6.jpg
Real Video 1,EVT_0006,0:00:01,1.5,45,11,dining table,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0006_id11.jpg
Real Video 1,EVT_0007,0:00:01,1.5,45,22,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0007_id22.jpg
Real Video 1,EVT_0008,0:00:01,1.53,46,9,chair,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0008_id9.jpg
Real Video 1,EVT_0009,0:00:01,1.73,52,27,chair,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0009_id27.jpg
Real Video 1,EVT_0010,0:00:01,1.8,54,29,chair,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0010_id29.jpg
Real Video 1,EVT_0011,0:00:02,2.0,60,35,person,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0011_id35.jpg
Real Video 1,EVT_0012,0:00:02,2.47,74,43,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0012_id43.jpg
Real Video 1,EVT_0013,0:00:03,3.0,90,3,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0013_id3.jpg
Real Video 1,EVT_0014,0:00:03,3.0,90,4,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0014_id4.jpg
Real Video 1,EVT_0015,0:00:03,3.0,90,6,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0015_id6.jpg
Real Video 1,EVT_0016,0:00:03,3.0,90,5,person,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0016_id5.jpg
Real Video 1,EVT_0017,0:00:03,3.0,90,22,person,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0017_id22.jpg
Real Video 1,EVT_0018,0:00:03,3.1,93,55,dining table,Missing Safety Goggles / Lab Coat,MEDIUM,evidence/real_video_1/violation_EVT_0018_id55.jpg
Real Video 1,EVT_0019,0:00:03,3.13,94,56,person,Restricted Access (Biohazard Restricted Zone); Missing Safety Goggles / Lab Coat,HIGH,evidence/real_video_1/violation_EVT_0019_id56.jpg
