Timestamp,Location,Detected Condition,Confidence Score,Count
2026-08-25 15:13:42,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:43,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:44,Zone_A_North,Normal,0.54,1
2026-08-25 15:13:44,Zone_A_North,Normal,0.5,1
2026-08-25 15:13:44,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:45,Zone_A_North,Normal,0.47,1
2026-08-25 15:13:45,Zone_A_North,Normal,0.45,1
2026-08-25 15:13:46,Zone_A_North,Normal,0.46,2
2026-08-25 15:13:46,Zone_A_North,Normal,0.46,2
2026-08-25 15:13:46,Zone_A_North,Normal,0.47,2
2026-08-25 15:13:47,Zone_A_North,Normal,0.51,1
2026-08-25 15:13:47,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:47,Zone_A_North,Normal,0.49,1
2026-08-25 15:13:48,Zone_A_North,Normal,0.58,1
2026-08-25 15:13:48,Zone_A_North,Normal,0.48,1
2026-08-25 15:13:48,Zone_A_North,Normal,0.53,2
2026-08-25 15:13:49,Zone_A_North,Normal,0.48,1
2026-08-25 15:13:49,Zone_A_North,Normal,0.48,1
2026-08-25 15:13:49,Zone_A_North,Normal,0.49,1
2026-08-25 15:13:50,Zone_A_North,Normal,0.48,1
2026-08-25 15:13:51,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:52,Zone_A_North,Normal,0.45,1
2026-08-25 15:13:52,Zone_A_North,Normal,0.46,1
2026-08-25 15:13:52,Zone_A_North,Normal,0.51,1
2026-08-25 15:13:52,Zone_A_North,Normal,0.51,1
2026-08-25 15:13:53,Zone_A_North,Normal,0.52,1
2026-08-25 15:13:53,Zone_A_North,Normal,0.5,1
2026-08-25 15:13:53,Zone_A_North,Normal,0.51,2
2026-08-25 15:13:53,Zone_A_North,Normal,0.55,1
2026-08-25 15:13:54,Zone_A_North,Normal,0.54,1
2026-08-25 15:13:54,Zone_A_North,Normal,0.5,1
2026-08-25 15:13:54,Zone_A_North,Normal,0.48,1
2026-08-25 15:13:55,Zone_A_North,Normal,0.49,1
2026-08-25 15:13:56,Zone_A_North,Normal,0.45,1
2026-08-25 15:13:56,Zone_A_North,Normal,0.51,1
2026-08-25 15:13:56,Zone_A_North,Normal,0.47,1
2026-08-25 15:13:57,Zone_A_North,Normal,0.54,1
2026-08-25 15:13:59,Zone_A_North,Normal,0.51,1
2026-08-25 15:13:59,Zone_A_North,Normal,0.6,1
2026-08-25 15:14:00,Zone_A_North,Normal,0.51,1
2026-08-25 15:14:00,Zone_A_North,Normal,0.52,1
2026-08-25 15:14:01,Zone_A_North,Normal,0.47,1
2026-08-25 15:14:01,Zone_A_North,Normal,0.48,1
2026-08-25 15:14:02,Zone_A_North,Normal,0.51,1
2026-08-25 15:14:02,Zone_A_North,Normal,0.49,1
2026-08-25 15:14:02,Zone_A_North,Normal,0.54,1
2026-08-25 15:14:03,Zone_A_North,Normal,0.47,1
2026-08-25 15:14:03,Zone_A_North,Normal,0.5,1
2026-08-25 15:14:03,Zone_A_North,Normal,0.49,2
2026-08-25 15:14:04,Zone_A_North,Normal,0.5,2
2026-08-25 15:14:04,Zone_A_North,Normal,0.46,1
2026-08-25 15:14:04,Zone_A_North,Normal,0.45,1
2026-08-25 15:14:05,Zone_A_North,Normal,0.56,1
2026-08-25 15:14:05,Zone_A_North,Normal,0.67,1
2026-08-25 15:14:05,Zone_A_North,Normal,0.48,1
2026-08-25 15:14:05,Zone_A_North,Normal,0.49,2
2026-08-25 15:14:06,Zone_A_North,Normal,0.48,1
2026-08-25 15:14:06,Zone_A_North,Normal,0.49,1
2026-08-25 15:14:06,Zone_A_North,Normal,0.47,1
2026-08-25 15:14:06,Zone_A_North,Normal,0.49,1
2026-08-25 15:14:07,Zone_A_North,Normal,0.49,2
2026-08-25 15:14:07,Zone_A_North,Normal,0.51,1
2026-08-25 15:14:07,Zone_A_North,Normal,0.49,1
2026-08-25 15:14:07,Zone_A_North,Normal,0.46,1
2026-08-25 15:14:09,Zone_A_North,Normal,0.53,1
2026-08-25 15:14:09,Zone_A_North,Normal,0.51,1
2026-08-25 15:14:10,Zone_A_North,Normal,0.56,1
2026-08-25 15:14:11,Zone_A_North,Normal,0.46,1
2026-08-25 15:14:11,Zone_A_North,Normal,0.45,1
2026-08-25 15:14:11,Zone_A_North,Normal,0.49,2
2026-08-25 15:14:11,Zone_A_North,Normal,0.47,2
2026-08-25 15:14:12,Zone_A_North,Normal,0.5,1
2026-08-25 15:14:12,Zone_A_North,Normal,0.46,1
2026-08-25 15:14:12,Zone_A_North,Normal,0.46,2
2026-08-25 15:14:12,Zone_A_North,Normal,0.49,2
2026-08-25 15:14:13,Zone_A_North,Normal,0.64,1
