timestamp,location,detected_condition,confidence_risk_score
2026-08-18 19:40:35,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:36,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:37,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:38,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:39,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:40,Zone-A_Entrance,Normal,0.11
2026-08-18 19:40:41,Zone-A_Entrance,Normal,0.22
2026-08-18 19:40:42,Zone-A_Entrance,Normal,0.22
2026-08-18 19:40:43,Zone-A_Entrance,Normal,0.22
2026-08-18 19:40:44,Zone-A_Entrance,Normal,0.22
2026-08-18 19:40:45,Zone-A_Entrance,Normal,0.22
2026-08-18 19:40:46,Zone-A_Entrance,Normal,0.33
2026-08-18 19:40:47,Zone-A_Entrance,Normal,0.33
2026-08-18 19:40:48,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:49,Zone-A_Entrance,Normal,0.56
2026-08-18 19:40:50,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:51,Zone-A_Entrance,Normal,0.33
2026-08-18 19:40:52,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:53,Zone-A_Entrance,Normal,0.33
2026-08-18 19:40:54,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:55,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:56,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:57,Zone-A_Entrance,Normal,0.44
2026-08-18 19:40:58,Zone-A_Entrance,Normal,0.33
2026-08-18 19:40:59,Zone-A_Entrance,Normal,0.56
2026-08-18 19:41:00,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:01,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:02,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:03,Zone-A_Entrance,Normal,0.56
2026-08-18 19:41:04,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:05,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:06,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:07,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:08,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:09,Zone-A_Entrance,Normal,0.44
2026-08-18 19:41:10,Zone-A_Entrance,Normal,0.22
2026-08-18 19:41:11,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:12,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:13,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:14,Zone-A_Entrance,Normal,0.22
2026-08-18 19:41:15,Zone-A_Entrance,Normal,0.33
2026-08-18 19:41:16,Zone-A_Entrance,Normal,0.11
