Timestamp_s,Frame_Index,Crowd_Count,Avg_Speed_norm,Detected_Condition,Risk_Score
0.0,0,6,0.0,Normal,0.3
0.03,1,4,0.0,Normal,0.2
0.07,2,4,0.0078,Normal,0.24
0.1,3,4,0.0078,Normal,0.24
0.13,4,4,0.0078,Normal,0.24
0.17,5,4,0.0078,Normal,0.24
0.2,6,4,0.0039,Normal,0.22
0.23,7,4,0.0039,Normal,0.22
0.27,8,4,0.0039,Normal,0.22
0.3,9,4,0.0039,Normal,0.22
0.33,10,4,0.0039,Normal,0.22
0.37,11,4,0.0039,Normal,0.22
0.4,12,4,0.0039,Normal,0.22
0.43,13,4,0.0117,Normal,0.27
0.47,14,4,0.0039,Normal,0.22
0.5,15,4,0.0,Normal,0.2
0.53,16,4,0.0039,Normal,0.22
0.57,17,4,0.0039,Normal,0.22
0.6,18,4,0.0,Normal,0.2
0.63,19,4,0.0,Normal,0.2
0.67,20,4,0.0078,Normal,0.24
0.7,21,4,0.0039,Normal,0.22
0.73,22,4,0.0039,Normal,0.22
0.77,23,4,0.0,Normal,0.2
0.8,24,4,0.0078,Normal,0.24
0.83,25,4,0.0078,Normal,0.24
0.87,26,4,0.0117,Normal,0.27
0.9,27,4,0.0039,Normal,0.22
0.93,28,4,0.0055,Normal,0.23
0.97,29,4,0.0055,Normal,0.23
1.0,30,4,0.0,Normal,0.2
1.03,31,4,0.0,Normal,0.2
1.07,32,4,0.0039,Normal,0.22
1.1,33,4,0.0094,Normal,0.25
1.13,34,4,0.0039,Normal,0.22
1.17,35,4,0.0,Normal,0.2
1.2,36,4,0.0078,Normal,0.24
1.23,37,4,0.0094,Normal,0.25
1.27,38,4,0.0055,Normal,0.23
1.3,39,4,0.0039,Normal,0.22
1.33,40,4,0.0039,Normal,0.22
1.37,41,4,0.0117,Normal,0.27
1.4,42,4,0.0078,Normal,0.24
1.43,43,4,0.0039,Normal,0.22
1.47,44,4,0.0,Normal,0.2
1.5,45,4,0.0156,Normal,0.29
1.53,46,4,0.0039,Normal,0.22
1.57,47,4,0.0078,Normal,0.24
1.6,48,4,0.0078,Normal,0.24
1.63,49,4,0.0,Normal,0.2
1.67,50,4,0.0,Normal,0.2
1.7,51,4,0.0,Normal,0.2
1.73,52,4,0.0,Normal,0.2
1.77,53,4,0.0,Normal,0.2
1.8,54,4,0.0039,Normal,0.22
1.83,55,4,0.0,Normal,0.2
1.87,56,4,0.0078,Normal,0.24
1.9,57,4,0.0039,Normal,0.22
1.93,58,4,0.0,Normal,0.2
1.97,59,4,0.0039,Normal,0.22
2.0,60,4,0.0,Normal,0.2
2.03,61,4,0.0078,Normal,0.24
2.07,62,4,0.0039,Normal,0.22
2.1,63,4,0.0039,Normal,0.22
2.13,64,4,0.0078,Normal,0.24
2.17,65,4,0.0,Normal,0.2
2.2,66,4,0.0,Normal,0.2
2.23,67,4,0.0,Normal,0.2
2.27,68,4,0.0039,Normal,0.22
2.3,69,4,0.0,Normal,0.2
2.33,70,4,0.0,Normal,0.2
2.37,71,4,0.0039,Normal,0.22
2.4,72,4,0.0133,Normal,0.28
2.43,73,4,0.0039,Normal,0.22
2.47,74,4,0.0039,Normal,0.22
2.5,75,4,0.0,Normal,0.2
2.53,76,4,0.0039,Normal,0.22
2.57,77,4,0.0078,Normal,0.24
2.6,78,4,0.0,Normal,0.2
2.63,79,4,0.0078,Normal,0.24
2.67,80,4,0.0039,Normal,0.22
2.7,81,4,0.0039,Normal,0.22
2.73,82,4,0.0,Normal,0.2
2.77,83,4,0.0039,Normal,0.22
2.8,84,4,0.0078,Normal,0.24
2.83,85,4,0.0078,Normal,0.24
2.87,86,4,0.0039,Normal,0.22
2.9,87,4,0.0055,Normal,0.23
2.93,88,4,0.0078,Normal,0.24
2.97,89,4,0.0039,Normal,0.22
3.0,90,4,0.0078,Normal,0.24
3.03,91,4,0.0205,Normal,0.32
3.07,92,4,0.0205,Normal,0.32
3.1,93,4,0.0087,Normal,0.25
3.13,94,4,0.0202,Normal,0.31
3.17,95,4,0.0234,Normal,0.33
3.2,96,4,0.0239,Normal,0.33
3.23,97,4,0.0316,Normal,0.38
3.27,98,4,0.0238,Normal,0.33
3.3,99,4,0.0234,Normal,0.33
3.33,100,4,0.0277,Normal,0.36
3.37,101,4,0.0273,Normal,0.35
3.4,102,4,0.0371,Normal,0.41
3.43,103,4,0.0316,Normal,0.38
3.47,104,4,0.0273,Normal,0.35
3.5,105,4,0.0332,Normal,0.39
3.53,106,4,0.0361,Normal,0.4
3.57,107,4,0.0315,Normal,0.38
3.6,108,4,0.0371,Normal,0.41
3.63,109,4,0.0214,Normal,0.32
3.67,110,4,0.02,Normal,0.31
3.7,111,4,0.0218,Normal,0.32
3.73,112,4,0.0239,Normal,0.33
3.77,113,4,0.0039,Normal,0.22
3.8,114,4,0.0055,Normal,0.23
3.83,115,4,0.0078,Normal,0.24
3.87,116,4,0.0087,Normal,0.25
3.9,117,4,0.0087,Normal,0.25
3.93,118,4,0.0039,Normal,0.22
3.97,119,4,0.0039,Normal,0.22
4.0,120,4,0.0126,Normal,0.27
4.03,121,4,0.0277,Normal,0.36
4.07,122,4,0.0437,Normal,0.45
4.1,123,4,0.0163,Normal,0.29
4.13,124,4,0.0244,Normal,0.34
4.17,125,4,0.0166,Normal,0.29
4.2,126,4,0.0055,Normal,0.23
4.23,127,4,0.0078,Normal,0.24
4.27,128,4,0.0163,Normal,0.29
4.3,129,4,0.0124,Normal,0.27
4.33,130,4,0.0,Normal,0.2
4.37,131,4,0.0094,Normal,0.25
4.4,132,4,0.0078,Normal,0.24
4.43,133,4,0.0234,Normal,0.33
4.47,134,4,0.0117,Normal,0.27
4.5,135,4,0.0312,Normal,0.38
4.53,136,4,0.0087,Normal,0.25
4.57,137,4,0.018,Normal,0.3
4.6,138,4,0.0172,Normal,0.3
4.63,139,4,0.0165,Normal,0.29
4.67,140,4,0.018,Normal,0.3
4.7,141,4,0.0172,Normal,0.3
4.73,142,4,0.0442,Normal,0.45
4.77,143,4,0.0447,Normal,0.45
4.8,144,4,0.0484,Normal,0.47
4.83,145,4,0.0247,Normal,0.34
4.87,146,4,0.043,Normal,0.44
4.9,147,4,0.0277,Normal,0.36
4.93,148,4,0.0414,Normal,0.43
