Timestamp_s,Frame_Index,Crowd_Count,Avg_Speed_norm,Detected_Condition,Risk_Score
0.0,0,0,0.0,Normal,0.0
0.08,1,0,0.0,Normal,0.0
0.17,2,0,0.0,Normal,0.0
0.25,3,0,0.0,Normal,0.0
0.33,4,0,0.0,Normal,0.0
0.42,5,0,0.0,Normal,0.0
0.5,6,0,0.0,Normal,0.0
0.58,7,0,0.0,Normal,0.0
0.67,8,0,0.0,Normal,0.0
0.75,9,0,0.0,Normal,0.0
0.83,10,0,0.0,Normal,0.0
0.92,11,0,0.0,Normal,0.0
1.0,12,0,0.0,Normal,0.0
1.08,13,0,0.0,Normal,0.0
1.17,14,0,0.0,Normal,0.0
1.25,15,1,0.0,Normal,0.05
1.33,16,1,0.0,Normal,0.05
1.42,17,1,0.0,Normal,0.05
1.5,18,1,0.0494,Normal,0.26
1.58,19,1,0.0699,Normal,0.34
1.67,20,1,0.0699,Normal,0.34
1.75,21,1,0.0797,Normal,0.39
1.83,22,1,0.0644,Normal,0.32
1.92,23,1,0.0644,Normal,0.32
2.0,24,1,0.0644,Normal,0.32
2.08,25,1,0.0469,Normal,0.25
2.17,26,1,0.0644,Normal,0.32
2.25,27,1,0.2055,High Motion Alert,0.39
2.33,28,1,0.1933,High Motion Alert,0.39
2.42,29,1,0.0988,High Motion Alert,0.39
2.5,30,1,0.0644,Normal,0.32
2.58,31,1,0.0644,Normal,0.32
2.67,32,1,0.1138,High Motion Alert,0.39
2.75,33,1,0.1631,High Motion Alert,0.39
2.83,34,1,0.119,High Motion Alert,0.39
2.92,35,1,0.0494,Normal,0.26
3.0,36,1,0.0494,Normal,0.26
3.08,37,1,0.0625,Normal,0.31
3.17,38,1,0.126,High Motion Alert,0.39
3.25,39,1,0.1398,High Motion Alert,0.39
3.33,40,1,0.119,High Motion Alert,0.39
3.42,41,1,0.0563,Normal,0.29
3.5,42,1,0.0563,Normal,0.29
3.58,43,1,0.0781,Normal,0.38
3.67,44,1,0.126,High Motion Alert,0.39
3.75,45,1,0.1344,High Motion Alert,0.39
3.83,46,1,0.119,High Motion Alert,0.39
3.92,47,1,0.0781,Normal,0.38
4.0,48,1,0.0494,Normal,0.26
4.08,49,1,0.0781,Normal,0.38
4.17,50,1,0.0884,High Motion Alert,0.39
4.25,51,1,0.1441,High Motion Alert,0.39
4.33,52,1,0.1127,High Motion Alert,0.39
4.42,53,1,0.0494,Normal,0.26
4.5,54,1,0.0349,Normal,0.2
4.58,55,1,0.0699,Normal,0.34
4.67,56,1,0.1441,High Motion Alert,0.39
4.75,57,1,0.1398,High Motion Alert,0.39
4.83,58,1,0.1138,High Motion Alert,0.39
4.92,59,1,0.0797,Normal,0.39
5.0,60,1,0.0494,Normal,0.26
5.08,61,1,0.0699,Normal,0.34
5.17,62,1,0.1,High Motion Alert,0.39
5.25,63,1,0.122,High Motion Alert,0.39
5.33,64,1,0.0911,High Motion Alert,0.39
5.42,65,1,0.0442,Normal,0.24
5.5,66,1,0.0442,Normal,0.24
5.58,67,1,0.0841,High Motion Alert,0.39
5.67,68,1,0.1127,High Motion Alert,0.39
5.75,69,1,0.1138,High Motion Alert,0.39
5.83,70,1,0.0988,High Motion Alert,0.39
5.92,71,1,0.0797,Normal,0.39
6.0,72,1,0.0644,Normal,0.32
6.08,73,1,0.0494,Normal,0.26
6.17,74,1,0.0,Normal,0.05
6.25,75,1,0.0,Normal,0.05
6.33,76,1,0.0,Normal,0.05
6.42,77,1,0.0,Normal,0.05
6.5,78,1,0.0,Normal,0.05
6.58,79,1,0.0,Normal,0.05
6.67,80,1,0.0,Normal,0.05
6.75,81,1,0.0,Normal,0.05
6.83,82,1,0.0,Normal,0.05
6.92,83,1,0.0,Normal,0.05
7.0,84,1,0.0,Normal,0.05
7.08,85,1,0.0,Normal,0.05
7.17,86,0,0.0,Normal,0.0
7.25,87,0,0.0,Normal,0.0
7.33,88,0,0.0,Normal,0.0
7.42,89,0,0.0,Normal,0.0
7.5,90,0,0.0,Normal,0.0
7.58,91,0,0.0,Normal,0.0
7.67,92,0,0.0,Normal,0.0
7.75,93,0,0.0,Normal,0.0
7.83,94,0,0.0,Normal,0.0
7.92,95,0,0.0,Normal,0.0
8.0,96,0,0.0,Normal,0.0
8.08,97,0,0.0,Normal,0.0
8.17,98,0,0.0,Normal,0.0
8.25,99,0,0.0,Normal,0.0
8.33,100,0,0.0,Normal,0.0
8.42,101,0,0.0,Normal,0.0
8.5,102,0,0.0,Normal,0.0
8.58,103,0,0.0,Normal,0.0
8.67,104,0,0.0,Normal,0.0
8.75,105,0,0.0,Normal,0.0
8.83,106,0,0.0,Normal,0.0
8.92,107,0,0.0,Normal,0.0
9.0,108,0,0.0,Normal,0.0
9.08,109,0,0.0,Normal,0.0
9.17,110,0,0.0,Normal,0.0
9.25,111,0,0.0,Normal,0.0
9.33,112,0,0.0,Normal,0.0
9.42,113,0,0.0,Normal,0.0
9.5,114,0,0.0,Normal,0.0
9.58,115,0,0.0,Normal,0.0
9.67,116,0,0.0,Normal,0.0
9.75,117,0,0.0,Normal,0.0
9.83,118,0,0.0,Normal,0.0
9.92,119,0,0.0,Normal,0.0
10.0,120,0,0.0,Normal,0.0
10.08,121,0,0.0,Normal,0.0
10.17,122,0,0.0,Normal,0.0
10.25,123,0,0.0,Normal,0.0
10.33,124,0,0.0,Normal,0.0
10.42,125,0,0.0,Normal,0.0
10.5,126,0,0.0,Normal,0.0
10.58,127,0,0.0,Normal,0.0
10.67,128,0,0.0,Normal,0.0
10.75,129,0,0.0,Normal,0.0
10.83,130,0,0.0,Normal,0.0
10.92,131,0,0.0,Normal,0.0
11.0,132,0,0.0,Normal,0.0
11.08,133,0,0.0,Normal,0.0
11.17,134,0,0.0,Normal,0.0
11.25,135,0,0.0,Normal,0.0
11.33,136,0,0.0,Normal,0.0
11.42,137,0,0.0,Normal,0.0
11.5,138,0,0.0,Normal,0.0
11.58,139,0,0.0,Normal,0.0
11.67,140,0,0.0,Normal,0.0
11.75,141,0,0.0,Normal,0.0
11.83,142,0,0.0,Normal,0.0
11.92,143,0,0.0,Normal,0.0
12.0,144,0,0.0,Normal,0.0
12.08,145,0,0.0,Normal,0.0
12.17,146,0,0.0,Normal,0.0
12.25,147,0,0.0,Normal,0.0
12.33,148,0,0.0,Normal,0.0
12.42,149,0,0.0,Normal,0.0
12.5,150,0,0.0,Normal,0.0
12.58,151,0,0.0,Normal,0.0
12.67,152,0,0.0,Normal,0.0
12.75,153,0,0.0,Normal,0.0
12.83,154,0,0.0,Normal,0.0
12.92,155,0,0.0,Normal,0.0
13.0,156,0,0.0,Normal,0.0
13.08,157,0,0.0,Normal,0.0
13.17,158,0,0.0,Normal,0.0
13.25,159,0,0.0,Normal,0.0
13.33,160,0,0.0,Normal,0.0
13.42,161,0,0.0,Normal,0.0
13.5,162,0,0.0,Normal,0.0
13.58,163,0,0.0,Normal,0.0
13.67,164,0,0.0,Normal,0.0
13.75,165,0,0.0,Normal,0.0
13.83,166,0,0.0,Normal,0.0
13.92,167,0,0.0,Normal,0.0
14.0,168,0,0.0,Normal,0.0
14.08,169,0,0.0,Normal,0.0
14.17,170,0,0.0,Normal,0.0
14.25,171,1,0.0,Normal,0.05
14.33,172,1,0.0,Normal,0.05
14.42,173,1,0.0,Normal,0.05
14.5,174,1,0.0,Normal,0.05
14.58,175,1,0.0,Normal,0.05
14.67,176,1,0.0,Normal,0.05
14.75,177,0,0.0,Normal,0.0
14.83,178,0,0.0,Normal,0.0
14.92,179,0,0.0,Normal,0.0
15.0,180,0,0.0,Normal,0.0
15.08,181,0,0.0,Normal,0.0
15.17,182,0,0.0,Normal,0.0
15.25,183,0,0.0,Normal,0.0
15.33,184,0,0.0,Normal,0.0
15.42,185,0,0.0,Normal,0.0
15.5,186,0,0.0,Normal,0.0
15.58,187,0,0.0,Normal,0.0
15.67,188,0,0.0,Normal,0.0
15.75,189,0,0.0,Normal,0.0
15.83,190,0,0.0,Normal,0.0
15.92,191,0,0.0,Normal,0.0
16.0,192,0,0.0,Normal,0.0
16.08,193,0,0.0,Normal,0.0
16.17,194,0,0.0,Normal,0.0
16.25,195,0,0.0,Normal,0.0
16.33,196,0,0.0,Normal,0.0
16.42,197,0,0.0,Normal,0.0
16.5,198,0,0.0,Normal,0.0
16.58,199,0,0.0,Normal,0.0
16.67,200,0,0.0,Normal,0.0
16.75,201,0,0.0,Normal,0.0
16.83,202,0,0.0,Normal,0.0
16.92,203,0,0.0,Normal,0.0
17.0,204,0,0.0,Normal,0.0
17.08,205,0,0.0,Normal,0.0
17.17,206,0,0.0,Normal,0.0
17.25,207,0,0.0,Normal,0.0
17.33,208,0,0.0,Normal,0.0
17.42,209,0,0.0,Normal,0.0
17.5,210,0,0.0,Normal,0.0
17.58,211,0,0.0,Normal,0.0
17.67,212,0,0.0,Normal,0.0
17.75,213,0,0.0,Normal,0.0
17.83,214,0,0.0,Normal,0.0
17.92,215,0,0.0,Normal,0.0
18.0,216,0,0.0,Normal,0.0
18.08,217,0,0.0,Normal,0.0
18.17,218,0,0.0,Normal,0.0
18.25,219,0,0.0,Normal,0.0
18.33,220,0,0.0,Normal,0.0
18.42,221,0,0.0,Normal,0.0
18.5,222,0,0.0,Normal,0.0
18.58,223,0,0.0,Normal,0.0
18.67,224,0,0.0,Normal,0.0
18.75,225,0,0.0,Normal,0.0
18.83,226,0,0.0,Normal,0.0
18.92,227,0,0.0,Normal,0.0
19.0,228,0,0.0,Normal,0.0
19.08,229,0,0.0,Normal,0.0
19.17,230,0,0.0,Normal,0.0
19.25,231,0,0.0,Normal,0.0
19.33,232,1,0.0,Normal,0.05
19.42,233,0,0.0,Normal,0.0
19.5,234,0,0.0,Normal,0.0
19.58,235,0,0.0,Normal,0.0
19.67,236,0,0.0,Normal,0.0
19.75,237,0,0.0,Normal,0.0
19.83,238,0,0.0,Normal,0.0
19.92,239,0,0.0,Normal,0.0
20.0,240,0,0.0,Normal,0.0
20.08,241,0,0.0,Normal,0.0
20.17,242,0,0.0,Normal,0.0
20.25,243,0,0.0,Normal,0.0
20.33,244,0,0.0,Normal,0.0
20.42,245,0,0.0,Normal,0.0
20.5,246,0,0.0,Normal,0.0
20.58,247,0,0.0,Normal,0.0
20.67,248,0,0.0,Normal,0.0
20.75,249,0,0.0,Normal,0.0
20.83,250,0,0.0,Normal,0.0
20.92,251,0,0.0,Normal,0.0
21.0,252,0,0.0,Normal,0.0
21.08,253,0,0.0,Normal,0.0
21.17,254,0,0.0,Normal,0.0
21.25,255,0,0.0,Normal,0.0
21.33,256,0,0.0,Normal,0.0
21.42,257,0,0.0,Normal,0.0
21.5,258,0,0.0,Normal,0.0
21.58,259,0,0.0,Normal,0.0
21.67,260,0,0.0,Normal,0.0
21.75,261,0,0.0,Normal,0.0
21.83,262,0,0.0,Normal,0.0
21.92,263,0,0.0,Normal,0.0
22.0,264,0,0.0,Normal,0.0
22.08,265,0,0.0,Normal,0.0
22.17,266,0,0.0,Normal,0.0
22.25,267,0,0.0,Normal,0.0
22.33,268,0,0.0,Normal,0.0
22.42,269,0,0.0,Normal,0.0
22.5,270,0,0.0,Normal,0.0
22.58,271,0,0.0,Normal,0.0
22.67,272,0,0.0,Normal,0.0
22.75,273,0,0.0,Normal,0.0
22.83,274,0,0.0,Normal,0.0
22.92,275,0,0.0,Normal,0.0
23.0,276,0,0.0,Normal,0.0
23.08,277,0,0.0,Normal,0.0
23.17,278,0,0.0,Normal,0.0
23.25,279,0,0.0,Normal,0.0
23.33,280,0,0.0,Normal,0.0
23.42,281,0,0.0,Normal,0.0
23.5,282,0,0.0,Normal,0.0
23.58,283,0,0.0,Normal,0.0
23.67,284,0,0.0,Normal,0.0
23.75,285,0,0.0,Normal,0.0
23.83,286,0,0.0,Normal,0.0
23.92,287,0,0.0,Normal,0.0
24.0,288,0,0.0,Normal,0.0
24.08,289,0,0.0,Normal,0.0
24.17,290,0,0.0,Normal,0.0
24.25,291,0,0.0,Normal,0.0
24.33,292,0,0.0,Normal,0.0
24.42,293,0,0.0,Normal,0.0
24.5,294,0,0.0,Normal,0.0
24.58,295,0,0.0,Normal,0.0
24.67,296,0,0.0,Normal,0.0
24.75,297,0,0.0,Normal,0.0
24.83,298,0,0.0,Normal,0.0
24.92,299,0,0.0,Normal,0.0
