video,ground_truth
SN_02.mp4,1
SN_04.mp4,1
SN_05.mp4,1
SN_06.mp4,1
SN_12.mp4,1
SN_13.mp4,1
SN_14.mp4,1
SN_15.mp4,1
SN_18.mp4,1
SN_30.mp4,1
SN_33.mp4,1
SN_34.mp4,1
SN_37.mp4,1
SN_40(1).mp4,1
SN_46.mp4,1
SN_55.mp4,1
SN_68.mp4,1
SN_72.mp4,1
SN_73.mp4,1
SN_74.mp4,1
NS_01.mp4,0
NS_26.mp4,0
NS_34.mp4,0
NS_41.mp4,0
NS_49.mp4,0
NS_58.mp4,0
NS_59.mp4,0
NS_61.mp4,0
NS_72.mp4,0
NS_78.mp4,0
Screen Recording 2026-04-01 201142.mp4,0
Screen Recording 2026-04-01 201234.mp4,0
Screen Recording 2026-04-01 201643.mp4,0
Screen Recording 2026-04-01 201927.mp4,0
Screen Recording 2026-04-01 202554.mp4,0
Screen Recording 2026-04-01 203500.mp4,0
Screen Recording 2026-04-01 203549.mp4,0
Screen Recording 2026-04-01 203649.mp4,0
Screen Recording 2026-04-01 210708.mp4,0
Screen Recording 2026-04-01 211716.mp4,0
