video,total_frames,duration_min,frames_with_det,detection_rate,avg_conf,avg_persons,consistency,total_violations,violation_rate,stability_index,enhanced_frames_pct,multiscale_frames_pct,category
SN_02.mp4,1573,1.03,1308,0.8315,0.6677,1.36,0.3862,27,26.28,0.6933,100.0,0.57,Snatching
SN_04.mp4,299,0.17,171,0.5719,0.4801,0.97,0.0,8,48.0,0.43,0.0,0.0,Snatching
SN_05.mp4,66,0.04,66,1.0,0.7391,3.29,0.7454,13,354.55,0.8708,37.88,0.0,Snatching
SN_06.mp4,91,0.05,70,0.7692,0.6532,1.4,0.3602,3,59.34,0.6526,94.51,0.0,Snatching
SN_12.mp4,185,0.1,165,0.8919,0.7307,2.67,0.3858,35,340.54,0.7423,64.86,2.7,Snatching
SN_13.mp4,90,0.05,64,0.7111,0.5812,1.09,0.2504,3,60.0,0.58,83.33,0.0,Snatching
SN_14.mp4,72,0.04,49,0.6806,0.4726,1.35,0.1265,3,75.0,0.5074,44.44,5.56,Snatching
SN_15.mp4,85,0.05,85,1.0,0.7527,1.96,0.6279,6,127.06,0.8514,100.0,0.0,Snatching
SN_18.mp4,310,0.17,14,0.0452,0.0233,0.05,0.7509,1,5.81,0.1798,0.0,0.0,Snatching
SN_30.mp4,787,0.44,468,0.5947,0.3415,1.14,0.0,24,54.89,0.3998,100.0,12.2,Snatching
SN_33.mp4,367,0.2,367,1.0,0.8387,3.22,0.8342,41,202.18,0.9185,100.0,100.0,Snatching
SN_34.mp4,448,0.25,222,0.4955,0.3272,0.77,0.065,8,32.24,0.3589,40.18,0.0,Snatching
SN_37.mp4,661,0.37,11,0.0166,0.0119,0.05,0.5576,0,0.0,0.1234,100.0,2.27,Snatching
SN_40(1).mp4,326,0.18,295,0.9049,0.6799,2.18,0.4728,27,149.08,0.751,0.0,0.0,Snatching
SN_46.mp4,212,0.12,195,0.9198,0.644,2.05,0.537,17,144.34,0.7605,0.0,0.0,Snatching
SN_55.mp4,236,0.13,156,0.661,0.409,1.19,0.0544,9,68.64,0.4641,42.37,8.47,Snatching
SN_68.mp4,225,0.25,225,1.0,0.7129,3.88,0.7069,34,137.21,0.8552,100.0,99.56,Snatching
SN_72.mp4,400,0.22,371,0.9275,0.7239,2.49,0.55,44,198.0,0.7909,7.5,0.0,Snatching
SN_73.mp4,354,0.2,352,0.9944,0.7704,4.71,0.5353,140,711.86,0.8354,9.6,0.0,Snatching
SN_74.mp4,518,0.29,342,0.6602,0.5866,1.39,0.1145,21,72.97,0.529,100.0,0.0,Snatching
NS_01.mp4,448,0.25,378,0.8438,0.637,2.12,0.4129,43,172.77,0.6956,100.0,100.0,NonSnatching
NS_26.mp4,1715,0.95,1432,0.835,0.6229,0.84,0.6266,1,1.05,0.7297,63.56,69.74,NonSnatching
NS_34.mp4,197,0.11,197,1.0,0.768,8.06,0.7218,213,1946.19,0.8748,100.0,5.58,NonSnatching
NS_41.mp4,653,0.36,653,1.0,0.7913,7.99,0.7581,725,1998.47,0.889,90.81,49.31,NonSnatching
NS_49.mp4,295,0.16,295,1.0,0.8183,9.32,0.8699,420,2562.71,0.9195,0.0,24.75,NonSnatching
NS_58.mp4,360,0.2,328,0.9111,0.5256,2.74,0.3558,51,255.51,0.6844,100.0,61.11,NonSnatching
NS_59.mp4,93,0.05,83,0.8925,0.6777,1.9,0.4916,0,0.0,0.7479,100.0,35.48,NonSnatching
NS_61.mp4,153,0.08,153,1.0,0.8318,2.19,0.7856,7,82.66,0.9066,100.0,0.0,NonSnatching
NS_72.mp4,219,0.12,211,0.9635,0.842,2.95,0.6408,18,147.95,0.8625,100.0,0.0,NonSnatching
NS_78.mp4,424,0.24,330,0.7783,0.5887,3.3,0.2572,120,509.43,0.6172,100.0,0.24,NonSnatching
Screen Recording 2026-04-01 201142.mp4,181,0.1,181,1.0,0.8573,6.84,0.8156,152,1511.6,0.9203,94.48,38.67,Crowded
Screen Recording 2026-04-01 201234.mp4,688,0.38,688,1.0,0.8442,11.06,0.6955,1440,3767.44,0.8924,43.6,13.81,Crowded
Screen Recording 2026-04-01 201643.mp4,1661,0.92,1661,1.0,0.8873,13.88,0.92,5011,5430.34,0.9502,100.0,0.0,Crowded
Screen Recording 2026-04-01 201927.mp4,270,0.15,270,1.0,0.877,12.15,0.906,630,4200.0,0.9443,100.0,0.0,Crowded
Screen Recording 2026-04-01 202554.mp4,211,0.12,211,1.0,0.75,11.27,0.6702,536,4572.51,0.859,85.78,45.5,Crowded
Screen Recording 2026-04-01 203500.mp4,290,0.16,290,1.0,0.8413,6.15,0.8485,180,1117.24,0.9221,100.0,0.0,Crowded
Screen Recording 2026-04-01 203549.mp4,214,0.12,214,1.0,0.8913,1.94,0.5607,12,100.93,0.8795,0.0,0.0,Crowded
Screen Recording 2026-04-01 203649.mp4,489,0.27,474,0.9693,0.7264,2.85,0.5316,86,316.56,0.8089,79.75,0.0,Crowded
Screen Recording 2026-04-01 210708.mp4,672,0.37,659,0.9807,0.8416,8.2,0.6518,628,1682.14,0.8732,88.84,4.61,Crowded
Screen Recording 2026-04-01 211716.mp4,432,0.24,432,1.0,0.7133,8.26,0.78,530,2208.33,0.87,100.0,20.37,Crowded
